data,hora,taxa
2024/06/10,12:43:42,10.300230764513936
2024/06/10,12:43:45,10.071430807082738
2024/06/10,12:43:47,10.09021877716237
2024/06/10,12:43:50,10.584192075869389
2024/06/10,12:43:52,10.604306230747202
2024/06/10,12:43:55,10.551651191370894
2024/06/10,12:43:57,10.29271285066681
2024/06/10,12:43:58,9.935403170242472
2024/06/10,12:44:01,10.893793947011039
2024/06/10,12:44:03,10.19776810602273
2024/06/10,12:54:15,10.746393215895115
2024/06/10,12:54:17,10.527644887282406
2024/06/10,12:54:19,10.093319613330086
2024/06/10,12:54:21,10.72409345302981
2024/06/10,12:54:24,10.87182465496059
2024/06/10,12:54:27,10.287547515732024
2024/06/10,12:54:28,10.42240751878056
2024/06/10,12:54:31,10.823605921726399
2024/06/10,12:54:33,9.964209943511406
2024/06/10,12:54:35,10.242242206628559
2024/06/10,12:54:50,10.698715591566927
2024/06/10,12:54:52,10.270523436708443
2024/06/10,12:54:54,10.074777312183317
2024/06/10,12:54:56,10.104457380144483
2024/06/10,12:54:59,10.455105229022276
2024/06/10,12:55:01,10.183732111684883
2024/06/10,12:55:03,10.780536347604729
2024/06/10,12:55:05,10.097214983582187
2024/06/10,12:55:07,10.050485126151669
2024/06/10,12:55:09,10.100531852650924
